date,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2024-12-04 17:00:00,1.05271,1.05428,1.05252,1.05375,17276.25
2024-12-04 18:00:00,1.05374,1.05391,1.05154,1.05168,14655.6396484375
2024-12-04 19:00:00,1.05164,1.05295,1.05075,1.05141,29069.330078125
2024-12-04 20:00:00,1.0514,1.05176,1.05051,1.05132,18742.16015625
2024-12-04 21:00:00,1.05132,1.0516,1.05081,1.0512,3037.47998046875
2024-12-04 22:00:00,1.05134,1.05145,1.05101,1.0511,1305.260009765625
2024-12-04 23:00:00,1.05109,1.05156,1.05081,1.05125,1820.5799560546875
2024-12-05 00:00:00,1.05126,1.0516,1.05084,1.05143,9393.58984375
2024-12-05 01:00:00,1.05144,1.0516,1.05093,1.05123,6277.3701171875
2024-12-05 02:00:00,1.05121,1.05229,1.05107,1.052,9206.6298828125
2024-12-05 03:00:00,1.05199,1.05235,1.05161,1.05231,4943.58984375
2024-12-05 04:00:00,1.0523,1.05257,1.05173,1.05185,3671.800048828125
2024-12-05 05:00:00,1.05182,1.0529,1.05174,1.05267,6343.02001953125
2024-12-05 06:00:00,1.05267,1.053,1.05231,1.0526,7514.7900390625
2024-12-05 07:00:00,1.05259,1.05389,1.0525,1.05355,11712.599609375
2024-12-05 08:00:00,1.05353,1.05466,1.05292,1.05303,15647.1396484375
2024-12-05 09:00:00,1.05303,1.05348,1.05215,1.05288,13724.6201171875
2024-12-05 10:00:00,1.05286,1.05355,1.05254,1.05264,12791.8798828125
2024-12-05 11:00:00,1.05263,1.05382,1.05236,1.05366,14363.4501953125
2024-12-05 12:00:00,1.05367,1.05388,1.0524,1.0537,11499.3203125
2024-12-05 13:00:00,1.0537,1.05685,1.05334,1.05673,36147.8984375
2024-12-05 14:00:00,1.05673,1.05898,1.05659,1.05756,31921.8203125
2024-12-05 15:00:00,1.05754,1.05801,1.05509,1.05724,26373.900390625
2024-12-05 16:00:00,1.05723,1.05785,1.05651,1.05705,21421.220703125
2024-12-05 17:00:00,1.05705,1.05748,1.05577,1.05677,13148.6396484375
2024-12-05 18:00:00,1.05677,1.05699,1.05572,1.05683,9447.150390625
2024-12-05 19:00:00,1.05684,1.05888,1.05684,1.05875,9418.16015625
2024-12-05 20:00:00,1.05876,1.05882,1.05811,1.05845,5564.0400390625
2024-12-05 21:00:00,1.05842,1.05887,1.05822,1.05887,2851.5
2024-12-05 22:00:00,1.05887,1.05899,1.05857,1.05882,1100.3800048828125
2024-12-05 23:00:00,1.05882,1.05884,1.05839,1.05866,2567.56005859375
2024-12-06 00:00:00,1.05865,1.05866,1.05767,1.05775,4991.64013671875
2024-12-06 01:00:00,1.05775,1.05783,1.05662,1.05688,8552.650390625
2024-12-06 02:00:00,1.05688,1.05784,1.05685,1.05771,9369.3603515625
2024-12-06 03:00:00,1.05772,1.05805,1.05731,1.05762,6810.16015625
2024-12-06 04:00:00,1.05761,1.05773,1.05727,1.05755,5975.68994140625
2024-12-06 05:00:00,1.05755,1.05755,1.0569,1.05725,6462.2900390625
2024-12-06 06:00:00,1.05725,1.05781,1.05695,1.05747,6803.2900390625
2024-12-06 07:00:00,1.05748,1.05848,1.05677,1.05839,10165.73046875
2024-12-06 08:00:00,1.05839,1.05942,1.05767,1.05822,13500.919921875
2024-12-06 09:00:00,1.05822,1.05837,1.05715,1.05776,11541.4296875
2024-12-06 10:00:00,1.05776,1.0585,1.05716,1.05827,7395.93994140625
2024-12-06 11:00:00,1.05827,1.0589,1.05768,1.05873,8112.06982421875
2024-12-06 12:00:00,1.05871,1.05887,1.05807,1.05814,10517.33984375
2024-12-06 13:00:00,1.05815,1.063,1.05794,1.06045,43196.109375
2024-12-06 14:00:00,1.06045,1.06073,1.05682,1.05795,50743.8203125
2024-12-06 15:00:00,1.05796,1.05796,1.05443,1.05634,24795.5390625
2024-12-06 16:00:00,1.05634,1.05757,1.05542,1.05626,18294.560546875
2024-12-06 17:00:00,1.05627,1.05627,1.05473,1.05514,13530.9296875
2024-12-06 18:00:00,1.05513,1.05612,1.05463,1.05496,7487.77001953125
2024-12-06 19:00:00,1.05496,1.05553,1.05424,1.05545,8825.9404296875
2024-12-06 20:00:00,1.05545,1.05642,1.05541,1.05638,6195.35009765625
2024-12-06 21:00:00,1.05638,1.05711,1.05619,1.05711,2757.429931640625
2024-12-06 22:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-06 23:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 00:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 01:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 02:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 03:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 04:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 05:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 06:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 07:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 08:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 09:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 10:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 11:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 12:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 13:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 14:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 15:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 16:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 17:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 18:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 19:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 20:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 21:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 22:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-07 23:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 00:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 01:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 02:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 03:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 04:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 05:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 06:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 07:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 08:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 09:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 10:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 11:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 12:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 13:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 14:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 15:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 16:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 17:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 18:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 19:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 20:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 21:00:00,1.05711,1.05711,1.05711,1.05711,0.0
2024-12-08 22:00:00,1.05634,1.05641,1.05588,1.05631,2764.2099609375
2024-12-08 23:00:00,1.05631,1.05697,1.05599,1.05658,3514.1201171875
2024-12-09 00:00:00,1.05659,1.0566,1.05558,1.05594,3581.739990234375
2024-12-09 01:00:00,1.05594,1.05611,1.05513,1.0552,5861.14990234375
