date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2025-04-08 13:00:00,0.56116,0.56254,0.56041,0.56147,14613.73046875
2025-04-08 14:00:00,0.56147,0.56195,0.55804,0.55814,12143.830078125
2025-04-08 15:00:00,0.55814,0.55888,0.55668,0.55741,10693.2900390625
2025-04-08 16:00:00,0.55741,0.55791,0.55549,0.55568,11176.349609375
2025-04-08 17:00:00,0.55568,0.55629,0.55459,0.55562,12377.4697265625
2025-04-08 18:00:00,0.55563,0.5563,0.55444,0.55475,10234.990234375
2025-04-08 19:00:00,0.55467,0.55508,0.55303,0.55386,6293.27978515625
2025-04-08 20:00:00,0.55385,0.55423,0.55201,0.55309,3925.18994140625
2025-04-08 21:00:00,0.55309,0.5539,0.55186,0.55275,1283.2099609375
2025-04-08 22:00:00,0.55275,0.55314,0.55158,0.55209,5766.14990234375
2025-04-08 23:00:00,0.55209,0.5524,0.55068,0.55138,4839.1298828125
2025-04-09 00:00:00,0.55139,0.55267,0.54851,0.55253,10852.509765625
2025-04-09 01:00:00,0.55253,0.55414,0.5525,0.5534,12264.1103515625
2025-04-09 02:00:00,0.55335,0.55601,0.55301,0.55331,10934.16015625
2025-04-09 03:00:00,0.55331,0.55475,0.55231,0.55281,7555.93017578125
2025-04-09 04:00:00,0.55278,0.555,0.55134,0.55445,12743.1201171875
2025-04-09 05:00:00,0.55447,0.55457,0.55241,0.55375,13159.83984375
2025-04-09 06:00:00,0.55377,0.55648,0.55367,0.55541,20843.669921875
2025-04-09 07:00:00,0.55539,0.55632,0.55345,0.55627,21667.669921875
2025-04-09 08:00:00,0.55625,0.55642,0.5547,0.5561,12427.01953125
2025-04-09 09:00:00,0.5561,0.55629,0.55503,0.55521,7094.47021484375
2025-04-09 10:00:00,0.55523,0.55771,0.55491,0.5569,7452.3701171875
2025-04-09 11:00:00,0.55692,0.55719,0.5541,0.5552,19039.259765625
2025-04-09 12:00:00,0.5552,0.55819,0.55483,0.55802,14899.830078125
2025-04-09 13:00:00,0.55803,0.55928,0.55727,0.55908,13575.6298828125
2025-04-09 14:00:00,0.55907,0.5592,0.55484,0.55508,13299.4404296875
2025-04-09 15:00:00,0.5551,0.55665,0.55479,0.55584,9150.9599609375
2025-04-09 16:00:00,0.55588,0.55742,0.55552,0.55705,6024.83984375
2025-04-09 17:00:00,0.55709,0.56557,0.55657,0.56397,29833.189453125
2025-04-09 18:00:00,0.56396,0.56677,0.56277,0.56462,25448.470703125
2025-04-09 19:00:00,0.56457,0.5665,0.56359,0.56386,14835.7802734375
2025-04-09 20:00:00,0.56388,0.5646,0.56275,0.56392,10735.830078125
2025-04-09 21:00:00,0.56353,0.56452,0.56353,0.56424,1377.239990234375
2025-04-09 22:00:00,0.56457,0.56633,0.56424,0.56462,7938.2900390625
2025-04-09 23:00:00,0.56464,0.56487,0.56342,0.56356,4654.31005859375
2025-04-10 00:00:00,0.56356,0.56546,0.56352,0.5644,8857.1904296875
2025-04-10 01:00:00,0.5644,0.56509,0.56275,0.56311,9421.1201171875
2025-04-10 02:00:00,0.56313,0.56619,0.56308,0.56605,5684.14013671875
2025-04-10 03:00:00,0.56606,0.56887,0.56581,0.56855,5796.0
2025-04-10 04:00:00,0.56856,0.56962,0.56784,0.56948,5203.16015625
2025-04-10 05:00:00,0.56949,0.57041,0.56903,0.56981,4915.85986328125
2025-04-10 06:00:00,0.56982,0.57094,0.56839,0.56958,7828.64990234375
2025-04-10 07:00:00,0.56958,0.56982,0.56635,0.56809,14234.330078125
2025-04-10 08:00:00,0.56808,0.56826,0.56605,0.56728,12061.08984375
2025-04-10 09:00:00,0.56726,0.56873,0.56661,0.56781,9032.650390625
2025-04-10 10:00:00,0.56781,0.56982,0.56781,0.56894,11559.099609375
2025-04-10 11:00:00,0.56895,0.57047,0.56877,0.57032,9170.740234375
2025-04-10 12:00:00,0.57031,0.57363,0.56967,0.57037,16138.6103515625
2025-04-10 13:00:00,0.57038,0.57204,0.56988,0.57058,16344.009765625
2025-04-10 14:00:00,0.57056,0.57403,0.5693,0.57394,13144.6103515625
2025-04-10 15:00:00,0.57394,0.57511,0.57176,0.572,16683.80078125
2025-04-10 16:00:00,0.57199,0.57283,0.57055,0.57249,13752.419921875
2025-04-10 17:00:00,0.57247,0.57479,0.57163,0.57472,11006.400390625
2025-04-10 18:00:00,0.57471,0.57651,0.57445,0.57519,9413.1396484375
2025-04-10 19:00:00,0.57512,0.57577,0.57239,0.57402,14253.8095703125
2025-04-10 20:00:00,0.57401,0.57524,0.57322,0.57369,4380.06982421875
2025-04-10 21:00:00,0.57354,0.57406,0.57249,0.5736,1863.550048828125
2025-04-10 22:00:00,0.5736,0.57523,0.5735,0.57489,4494.47021484375
2025-04-10 23:00:00,0.5749,0.57497,0.57377,0.57464,6478.5400390625
2025-04-11 00:00:00,0.57463,0.57747,0.57424,0.57548,16653.119140625
2025-04-11 01:00:00,0.57549,0.57867,0.57505,0.57778,20406.830078125
2025-04-11 02:00:00,0.57777,0.57964,0.5768,0.57882,13173.830078125
2025-04-11 03:00:00,0.57882,0.57992,0.5782,0.57946,9661.2802734375
2025-04-11 04:00:00,0.57947,0.57989,0.57657,0.57664,9744.33984375
2025-04-11 05:00:00,0.57663,0.57796,0.57583,0.57727,9129.240234375
2025-04-11 06:00:00,0.5773,0.57769,0.57531,0.57621,11945.349609375
2025-04-11 07:00:00,0.57618,0.57977,0.57606,0.57955,13611.7802734375
2025-04-11 08:00:00,0.57953,0.58118,0.57852,0.58098,15324.1904296875
2025-04-11 09:00:00,0.58095,0.58228,0.58031,0.58147,10504.509765625
2025-04-11 10:00:00,0.58146,0.58146,0.578,0.5797,10267.849609375
2025-04-11 11:00:00,0.57971,0.58135,0.5796,0.57994,9769.8701171875
2025-04-11 12:00:00,0.57994,0.58256,0.57943,0.582,18457.369140625
2025-04-11 13:00:00,0.582,0.58395,0.57984,0.58015,23222.98046875
2025-04-11 14:00:00,0.58015,0.5806,0.5784,0.57926,22075.830078125
2025-04-11 15:00:00,0.57927,0.57976,0.57761,0.57938,17460.6796875
2025-04-11 16:00:00,0.57936,0.58031,0.57791,0.57994,11103.1904296875
2025-04-11 17:00:00,0.57996,0.58142,0.57939,0.58061,10694.5400390625
2025-04-11 18:00:00,0.58061,0.58232,0.58052,0.58192,8146.52978515625
2025-04-11 19:00:00,0.58192,0.58322,0.58183,0.58286,5396.41015625
2025-04-11 20:00:00,0.58283,0.58331,0.58192,0.5823,4514.259765625
2025-04-11 21:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-11 22:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-11 23:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 00:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 01:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 02:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 03:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 04:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 05:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 06:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 07:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 08:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 09:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 10:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 11:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 12:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 13:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 14:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 15:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 16:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 17:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 18:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 19:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 20:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 21:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 22:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-12 23:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 00:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 01:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 02:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 03:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 04:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 05:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 06:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 07:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 08:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 09:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 10:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 11:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 12:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 13:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 14:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 15:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 16:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 17:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 18:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 19:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 20:00:00,0.5823,0.5823,0.5823,0.5823,0.0
2025-04-13 21:00:00,0.58141,0.58326,0.58138,0.58311,1518.75
2025-04-13 22:00:00,0.58311,0.58369,0.5823,0.58289,8630.76953125
2025-04-13 23:00:00,0.58291,0.58431,0.58252,0.58343,6057.580078125
2025-04-14 00:00:00,0.58345,0.58532,0.58335,0.58432,7723.66015625
2025-04-14 01:00:00,0.58433,0.58597,0.58373,0.58391,8999.900390625
2025-04-14 02:00:00,0.5839,0.58499,0.58317,0.58463,6820.509765625
2025-04-14 03:00:00,0.58461,0.58485,0.58305,0.58428,3874.050048828125
2025-04-14 04:00:00,0.58433,0.58541,0.58414,0.58536,2122.780029296875
2025-04-14 05:00:00,0.58536,0.58597,0.58498,0.58541,2468.85009765625
2025-04-14 06:00:00,0.58543,0.58883,0.58509,0.58847,7293.31982421875
2025-04-14 07:00:00,0.58844,0.5888,0.58701,0.58738,8705.490234375
2025-04-14 08:00:00,0.58739,0.58912,0.58717,0.58838,5145.22021484375
2025-04-14 09:00:00,0.58836,0.58893,0.58692,0.58709,4070.56005859375
2025-04-14 10:00:00,0.58709,0.58762,0.58642,0.5871,3710.550048828125
2025-04-14 11:00:00,0.58715,0.58772,0.58587,0.58622,3077.5
2025-04-14 12:00:00,0.58625,0.58639,0.58426,0.58452,7813.669921875
2025-04-14 13:00:00,0.58454,0.5858,0.583,0.58562,14573.509765625
2025-04-14 14:00:00,0.58563,0.58837,0.58556,0.58812,12764.48046875
2025-04-14 15:00:00,0.58812,0.5886,0.58648,0.5865,10321.2998046875
2025-04-14 16:00:00,0.58651,0.58749,0.58624,0.58632,8791.23046875
2025-04-14 17:00:00,0.58634,0.58811,0.5863,0.58763,6901.830078125
2025-04-14 18:00:00,0.58762,0.58867,0.58762,0.58863,4177.830078125
2025-04-14 19:00:00,0.58861,0.58898,0.58811,0.58836,3799.760009765625
2025-04-14 20:00:00,0.58837,0.58842,0.58726,0.58749,2762.469970703125
