date,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2025-07-11 05:00:00,0.60158,0.6021,0.60144,0.60146,2594.699951171875
2025-07-11 06:00:00,0.60145,0.6021,0.60096,0.6016,4304.990234375
2025-07-11 07:00:00,0.60161,0.60274,0.60161,0.60243,3930.14990234375
2025-07-11 08:00:00,0.60245,0.60248,0.60104,0.6012,6354.75
2025-07-11 09:00:00,0.60121,0.60181,0.60105,0.60161,4911.2998046875
2025-07-11 10:00:00,0.6016,0.60246,0.60158,0.6021,4327.9501953125
2025-07-11 11:00:00,0.60211,0.60244,0.60136,0.60144,2094.60009765625
2025-07-11 12:00:00,0.60143,0.60211,0.60056,0.60137,4940.5498046875
2025-07-11 13:00:00,0.60136,0.60213,0.60057,0.60059,7663.64013671875
2025-07-11 14:00:00,0.60057,0.60116,0.60014,0.60049,6581.14013671875
2025-07-11 15:00:00,0.6005,0.6012,0.60044,0.60097,4241.25
2025-07-11 16:00:00,0.60096,0.60112,0.60035,0.60078,3184.800048828125
2025-07-11 17:00:00,0.60078,0.60111,0.60069,0.60091,2229.75
2025-07-11 18:00:00,0.60092,0.60127,0.6008,0.60097,2147.25
2025-07-11 19:00:00,0.60096,0.60102,0.60046,0.6006,2277.14990234375
2025-07-11 20:00:00,0.6006,0.60139,0.60021,0.60139,2910.89990234375
2025-07-11 21:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-11 22:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-11 23:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 00:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 01:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 02:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 03:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 04:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 05:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 06:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 07:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 08:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 09:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 10:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 11:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 12:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 13:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 14:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 15:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 16:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 17:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 18:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 19:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 20:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 21:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 22:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-12 23:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 00:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 01:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 02:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 03:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 04:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 05:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 06:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 07:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 08:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 09:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 10:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 11:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 12:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 13:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 14:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 15:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 16:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 17:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 18:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 19:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 20:00:00,0.60139,0.60139,0.60139,0.60139,0.0
2025-07-13 21:00:00,0.60202,0.60202,0.59975,0.59989,511.04998779296875
2025-07-13 22:00:00,0.59991,0.60072,0.59966,0.59984,2159.77001953125
2025-07-13 23:00:00,0.59983,0.60073,0.59968,0.60064,1599.300048828125
2025-07-14 00:00:00,0.60063,0.60154,0.60037,0.60077,2941.27001953125
2025-07-14 01:00:00,0.60081,0.60098,0.59849,0.59883,4610.509765625
2025-07-14 02:00:00,0.59881,0.59892,0.59824,0.59857,2206.739990234375
2025-07-14 03:00:00,0.59858,0.59915,0.5983,0.5988,1909.949951171875
2025-07-14 04:00:00,0.59879,0.59879,0.5981,0.59817,1956.0799560546875
2025-07-14 05:00:00,0.59815,0.59887,0.59795,0.59821,2171.25
2025-07-14 06:00:00,0.59818,0.59867,0.59795,0.59821,3031.639892578125
2025-07-14 07:00:00,0.59821,0.59931,0.59756,0.59909,3479.39990234375
2025-07-14 08:00:00,0.59908,0.59938,0.59879,0.59891,2427.800048828125
2025-07-14 09:00:00,0.59889,0.59945,0.5986,0.59914,2294.52001953125
2025-07-14 10:00:00,0.59913,0.59968,0.59886,0.59939,1634.4000244140625
2025-07-14 11:00:00,0.59941,0.5996,0.59889,0.59902,2280.89990234375
2025-07-14 12:00:00,0.59899,0.59936,0.59815,0.5985,2820.14990234375
2025-07-14 13:00:00,0.59849,0.59882,0.598,0.59869,3577.050048828125
2025-07-14 14:00:00,0.59868,0.5987,0.59757,0.59785,3591.75
2025-07-14 15:00:00,0.59786,0.59897,0.59715,0.59718,3760.949951171875
2025-07-14 16:00:00,0.59718,0.59757,0.59691,0.59738,3558.2900390625
2025-07-14 17:00:00,0.59736,0.59772,0.59723,0.59738,1583.8499755859375
2025-07-14 18:00:00,0.59739,0.59785,0.59734,0.59769,1608.52001953125
2025-07-14 19:00:00,0.59771,0.5979,0.59728,0.59754,1274.8499755859375
2025-07-14 20:00:00,0.59756,0.59761,0.59721,0.59735,636.6500244140625
2025-07-14 21:00:00,0.59742,0.59818,0.59735,0.5975,1668.8299560546875
2025-07-14 22:00:00,0.59738,0.59749,0.59718,0.59734,2658.669921875
2025-07-14 23:00:00,0.59736,0.59739,0.59689,0.59711,663.4500122070312
2025-07-15 00:00:00,0.59711,0.59823,0.59705,0.59789,2594.169921875
2025-07-15 01:00:00,0.59788,0.59864,0.59737,0.59825,2872.93994140625
2025-07-15 02:00:00,0.59824,0.59834,0.59762,0.59782,2676.889892578125
2025-07-15 03:00:00,0.59781,0.59798,0.59763,0.59777,1473.300048828125
2025-07-15 04:00:00,0.59778,0.59801,0.59757,0.59773,1444.050048828125
2025-07-15 05:00:00,0.59771,0.59854,0.59762,0.59835,1679.25
2025-07-15 06:00:00,0.59832,0.59858,0.59815,0.59839,2383.580078125
2025-07-15 07:00:00,0.59837,0.59957,0.59795,0.59945,2346.0
2025-07-15 08:00:00,0.59943,0.60003,0.59932,0.59962,2124.3701171875
2025-07-15 09:00:00,0.5996,0.60003,0.5994,0.59976,2141.85009765625
2025-07-15 10:00:00,0.59976,0.60022,0.59975,0.60011,1579.3499755859375
2025-07-15 11:00:00,0.60011,0.60022,0.59913,0.59928,2089.35009765625
2025-07-15 12:00:00,0.59931,0.60068,0.59879,0.59995,6066.75
2025-07-15 13:00:00,0.59995,0.60003,0.59679,0.59695,8582.25
2025-07-15 14:00:00,0.59692,0.59694,0.59473,0.59511,9531.4501953125
2025-07-15 15:00:00,0.59512,0.59517,0.59394,0.59498,5152.6201171875
2025-07-15 16:00:00,0.59497,0.59518,0.5939,0.5942,4233.4501953125
2025-07-15 17:00:00,0.59426,0.59455,0.59416,0.59449,2963.85009765625
2025-07-15 18:00:00,0.5945,0.59516,0.59437,0.59478,2506.719970703125
2025-07-15 19:00:00,0.5948,0.59486,0.59431,0.59437,1815.5999755859375
2025-07-15 20:00:00,0.59437,0.59476,0.5942,0.59476,1249.199951171875
2025-07-15 21:00:00,0.59478,0.59574,0.59459,0.59479,1360.6199951171875
2025-07-15 22:00:00,0.59476,0.59476,0.59445,0.59473,939.75
2025-07-15 23:00:00,0.59469,0.59564,0.59458,0.59548,963.9000244140625
2025-07-16 00:00:00,0.59548,0.59669,0.59535,0.5962,2588.090087890625
2025-07-16 01:00:00,0.59618,0.59644,0.59535,0.59545,2739.89990234375
2025-07-16 02:00:00,0.59545,0.59545,0.59453,0.59469,1645.6500244140625
2025-07-16 03:00:00,0.5947,0.59529,0.59452,0.59462,1303.6500244140625
2025-07-16 04:00:00,0.59463,0.59511,0.59449,0.59504,1016.3900146484375
2025-07-16 05:00:00,0.59506,0.59523,0.59488,0.59503,1293.6700439453125
2025-07-16 06:00:00,0.59498,0.59559,0.59483,0.59516,2722.93994140625
2025-07-16 07:00:00,0.59516,0.59535,0.59426,0.59467,2284.800048828125
2025-07-16 08:00:00,0.59468,0.59493,0.59406,0.59431,3055.969970703125
2025-07-16 09:00:00,0.59429,0.59429,0.59376,0.59423,2028.300048828125
2025-07-16 10:00:00,0.59423,0.59456,0.59387,0.59438,1678.800048828125
2025-07-16 11:00:00,0.59435,0.59458,0.59392,0.59419,1543.6500244140625
2025-07-16 12:00:00,0.59421,0.595,0.59364,0.59398,4261.64990234375
2025-07-16 13:00:00,0.59396,0.59426,0.59191,0.59226,4490.35009765625
2025-07-16 14:00:00,0.59228,0.59299,0.59133,0.59237,6558.08984375
2025-07-16 15:00:00,0.59237,0.59707,0.59231,0.59394,22602.380859375
2025-07-16 16:00:00,0.59393,0.59503,0.59322,0.59445,9313.5302734375
2025-07-16 17:00:00,0.59445,0.59561,0.59438,0.59456,4768.2099609375
2025-07-16 18:00:00,0.59456,0.59471,0.59382,0.59391,2594.85009765625
2025-07-16 19:00:00,0.5939,0.59477,0.59382,0.59464,1945.47998046875
2025-07-16 20:00:00,0.59463,0.59488,0.59445,0.59482,1012.3499755859375
2025-07-16 21:00:00,0.59493,0.59634,0.59458,0.59478,934.4099731445312
2025-07-16 22:00:00,0.59467,0.59491,0.59438,0.59453,1356.6600341796875
2025-07-16 23:00:00,0.59454,0.59477,0.59433,0.59448,982.2000122070312
2025-07-17 00:00:00,0.59446,0.59456,0.59303,0.59344,2072.830078125
2025-07-17 01:00:00,0.59344,0.59426,0.59283,0.59349,4511.9501953125
2025-07-17 02:00:00,0.59351,0.59353,0.59146,0.59163,3377.469970703125
2025-07-17 03:00:00,0.59165,0.5926,0.59125,0.59253,2744.6201171875
2025-07-17 04:00:00,0.59254,0.59294,0.5921,0.59286,1457.8499755859375
2025-07-17 05:00:00,0.59286,0.59344,0.59271,0.59272,2350.10009765625
2025-07-17 06:00:00,0.59272,0.59294,0.59115,0.59169,5486.990234375
2025-07-17 07:00:00,0.59169,0.59171,0.591,0.59155,3965.669921875
2025-07-17 08:00:00,0.59153,0.59271,0.59133,0.59258,3455.989990234375
2025-07-17 09:00:00,0.59258,0.59279,0.59188,0.59198,2208.81005859375
2025-07-17 10:00:00,0.59198,0.59216,0.59151,0.59165,2028.0
2025-07-17 11:00:00,0.59168,0.59175,0.59078,0.59093,2344.199951171875
2025-07-17 12:00:00,0.59093,0.59224,0.59054,0.59178,5111.5400390625
2025-07-17 13:00:00,0.5918,0.59248,0.59117,0.59241,5410.64013671875
2025-07-17 14:00:00,0.59242,0.59258,0.59179,0.59211,4355.7001953125
2025-07-17 15:00:00,0.5921,0.59329,0.59206,0.5929,3590.739990234375
2025-07-17 16:00:00,0.59291,0.59323,0.59213,0.59245,2856.60009765625
