date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2024-04-05 14:00:00,1.08011,1.08263,1.07969,1.08186,24361.83984375
2024-04-05 15:00:00,1.08184,1.08434,1.0816,1.08402,17054.08984375
2024-04-05 16:00:00,1.08401,1.08444,1.08331,1.08357,10922.8603515625
2024-04-05 17:00:00,1.08359,1.08388,1.08314,1.08328,6276.330078125
2024-04-05 18:00:00,1.08328,1.08379,1.08306,1.08348,5454.43017578125
2024-04-05 19:00:00,1.08348,1.08369,1.0832,1.08354,7699.2998046875
2024-04-05 20:00:00,1.08354,1.08376,1.08337,1.08352,6422.56005859375
2024-04-05 21:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-05 22:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-05 23:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 00:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 01:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 02:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 03:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 04:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 05:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 06:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 07:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 08:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 09:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 10:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 11:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 12:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 13:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 14:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 15:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 16:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 17:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 18:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 19:00:00,1.08352,1.08352,1.08352,1.08352,0.0
2024-04-06 20:00:00,1.08352,1.08352,1.08352,1.08352,0.0
