date,open,high,low,close,volume,vwap,transactions,BID_open,BID_high,BID_low,BID_close,BID_volume_millions,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2025-01-13 05:00:00,157.542,157.546,157.279,157.398,4050.0,157.4118,4050,157.541,157.546,157.281,157.406,15185.4697265625,157.549,157.553,157.29,157.412,13246.9296875
2025-01-13 06:00:00,157.404,157.595,157.243,157.526,4931.0,157.4768,4931,157.405,157.594,157.245,157.529,20887.740234375,157.412,157.604,157.251,157.538,16309.740234375
2025-01-13 07:00:00,157.527,157.545,157.293,157.459,7421.0,157.3993,7421,157.528,157.547,157.295,157.46,33773.87109375,157.534,157.555,157.302,157.466,33525.46875
2025-01-13 08:00:00,157.457,157.667,157.382,157.601,7829.0,157.5307,7829,157.46,157.668,157.387,157.601,37014.0,157.468,157.674,157.393,157.611,34263.5390625
2025-01-13 09:00:00,157.601,157.614,157.03,157.112,8803.0,157.2733,8803,157.606,157.615,157.033,157.106,34527.73046875,157.612,157.623,157.043,157.113,37027.12890625
2025-01-13 10:00:00,157.104,157.431,157.007,157.429,6858.0,157.2293,6858,157.106,157.431,157.01,157.43,27395.51953125,157.112,157.438,157.015,157.436,21507.119140625
2025-01-13 11:00:00,157.429,157.471,157.218,157.313,4860.0,157.3077,4860,157.431,157.469,157.218,157.315,18394.830078125,157.437,157.477,157.227,157.321,13531.669921875
2025-01-13 12:00:00,157.311,157.459,156.918,157.028,6355.0,157.239,6355,157.315,157.461,156.922,157.03,25513.279296875,157.32,157.464,156.93,157.037,23384.990234375
2025-01-13 13:00:00,157.026,157.203,156.909,157.2,8111.0,157.0533,8111,157.03,157.201,156.91,157.199,37629.12890625,157.036,157.209,156.919,157.205,35024.51953125
2025-01-13 14:00:00,157.196,157.425,157.098,157.35,9025.0,157.2255,9025,157.198,157.424,157.101,157.35,41782.71875,157.202,157.433,157.109,157.361,32528.740234375
2025-01-13 15:00:00,157.35,157.583,157.3,157.516,8579.0,157.4351,8579,157.352,157.581,157.307,157.517,37800.578125,157.36,157.59,157.314,157.522,32301.19921875
2025-01-13 16:00:00,157.517,157.79,157.461,157.509,7020.0,157.5988,7020,157.518,157.788,157.464,157.511,27006.849609375,157.522,157.794,157.471,157.52,20626.400390625
2025-01-13 17:00:00,157.508,157.568,157.303,157.323,5492.0,157.4185,5492,157.51,157.568,157.309,157.327,18683.169921875,157.519,157.574,157.315,157.334,14166.1396484375
2025-01-13 18:00:00,157.325,157.524,157.28,157.477,4243.0,157.4441,4243,157.326,157.523,157.291,157.478,11770.5302734375,157.334,157.529,157.299,157.485,10503.6396484375
2025-01-13 19:00:00,157.477,157.815,157.474,157.798,4334.0,157.6256,4334,157.479,157.817,157.478,157.811,13144.3701171875,157.486,157.824,157.486,157.818,10318.740234375
2025-01-13 20:00:00,157.808,157.808,157.603,157.646,3847.0,157.6975,3847,157.81,157.81,157.609,157.648,12045.6396484375,157.816,157.817,157.613,157.656,12088.3701171875
2025-01-13 21:00:00,157.649,157.692,157.449,157.472,2958.0,157.588,2958,157.649,157.694,157.458,157.459,7187.0400390625,157.656,157.704,157.48,157.494,12730.169921875
2025-01-13 22:00:00,157.472,157.522,157.173,157.294,636.0,157.4038,636,157.458,157.458,157.188,157.276,2150.550048828125,157.493,157.599,157.21,157.357,2535.14990234375
