date,open,high,low,close,volume,vwap,transactions
2025-09-24 23:00:00,148.799,148.83,148.72,148.778,3932.0,148.7813,3932
2025-09-25 00:00:00,148.778,148.79,148.55,148.567,6695.0,148.6614,6695
2025-09-25 01:00:00,148.569,148.86,148.55,148.747,11819.0,148.703,11819
2025-09-25 02:00:00,148.755,148.759,148.609,148.75,9961.0,148.6931,9961
2025-09-25 03:00:00,148.744,148.775,148.654,148.674,7193.0,148.6957,7193
2025-09-25 04:00:00,148.664,148.701,148.596,148.6,6848.0,148.653,6848
2025-09-25 05:00:00,148.6,148.813,148.593,148.81,8620.0,148.7228,8620
2025-09-25 06:00:00,148.805,148.86,148.726,148.784,13241.0,148.8032,13241
2025-09-25 07:00:00,148.777,148.827,148.63,148.815,14728.0,148.7261,14728
2025-09-25 08:00:00,148.82,148.825,148.659,148.737,14148.0,148.743,14148
2025-09-25 09:00:00,148.74,148.812,148.68,148.795,11920.0,148.7607,11920
2025-09-25 10:00:00,148.795,148.8,148.72,148.795,10602.0,148.7523,10602
2025-09-25 11:00:00,148.8,148.889,148.79,148.83,13190.0,148.8459,13190
2025-09-25 12:00:00,148.831,149.352,148.79,149.242,18828.0,149.0577,18828
2025-09-25 13:00:00,149.237,149.475,149.132,149.417,20425.0,149.2559,20425
2025-09-25 14:00:00,149.416,149.635,149.335,149.634,17512.0,149.4958,17512
2025-09-25 15:00:00,149.629,149.844,149.619,149.787,16940.0,149.7285,16940
2025-09-25 16:00:00,149.784,149.867,149.703,149.81,14326.0,149.7783,14326
2025-09-25 17:00:00,149.817,149.919,149.756,149.803,13959.0,149.8414,13959
2025-09-25 18:00:00,149.802,149.93,149.72,149.883,12924.0,149.8509,12924
2025-09-25 19:00:00,149.883,149.897,149.722,149.769,11169.0,149.7992,11169
2025-09-25 20:00:00,149.772,149.812,149.74,149.796,5518.0,149.773,5518
2025-09-25 21:00:00,149.796,149.831,149.677,149.769,607.0,149.7848,607
2025-09-25 22:00:00,149.78,149.803,149.72,149.729,2975.0,149.7588,2975
2025-09-25 23:00:00,149.727,149.953,149.725,149.873,5646.0,149.8584,5646
2025-09-26 00:00:00,149.868,149.94,149.632,149.678,7307.0,149.8123,7307
2025-09-26 01:00:00,149.679,149.847,149.62,149.822,12160.0,149.7553,12160
2025-09-26 02:00:00,149.824,149.835,149.68,149.717,8850.0,149.7463,8850
2025-09-26 03:00:00,149.724,149.745,149.666,149.7,6643.0,149.7076,6643
2025-09-26 04:00:00,149.704,149.729,149.639,149.643,8118.0,149.6897,8118
2025-09-26 05:00:00,149.647,149.722,149.61,149.711,7872.0,149.6611,7872
2025-09-26 06:00:00,149.712,149.795,149.691,149.722,13258.0,149.7436,13258
2025-09-26 07:00:00,149.722,149.885,149.72,149.844,13847.0,149.8265,13847
2025-09-26 08:00:00,149.845,149.847,149.645,149.744,12744.0,149.7344,12744
2025-09-26 09:00:00,149.75,149.797,149.706,149.788,12517.0,149.7456,12517
2025-09-26 10:00:00,149.79,149.95,149.775,149.892,11003.0,149.8583,11003
2025-09-26 11:00:00,149.888,149.903,149.751,149.782,11996.0,149.8056,11996
2025-09-26 12:00:00,149.787,149.826,149.583,149.623,17606.0,149.6877,17606
2025-09-26 13:00:00,149.625,149.784,149.5,149.73,19444.0,149.6667,19444
2025-09-26 14:00:00,149.733,149.734,149.457,149.502,19472.0,149.5919,19472
2025-09-26 15:00:00,149.502,149.575,149.42,149.517,14986.0,149.5022,14986
2025-09-26 16:00:00,149.517,149.597,149.488,149.551,12356.0,149.5377,12356
2025-09-26 17:00:00,149.546,149.56,149.473,149.519,10509.0,149.5187,10509
2025-09-26 18:00:00,149.52,149.552,149.4,149.434,11851.0,149.5106,11851
2025-09-26 19:00:00,149.44,149.558,149.431,149.504,11175.0,149.4939,11175
2025-09-26 20:00:00,149.498,149.548,149.462,149.492,5870.0,149.5044,5870
2025-09-28 21:00:00,149.422,149.434,149.399,149.399,3.0,149.4183,3
2025-09-28 22:00:00,149.44,149.511,149.39,149.468,2581.0,149.4693,2581
2025-09-28 23:00:00,149.464,149.473,149.333,149.411,3227.0,149.3927,3227
2025-09-29 00:00:00,149.406,149.419,149.105,149.172,6417.0,149.2355,6417
2025-09-29 01:00:00,149.175,149.28,149.012,149.091,12858.0,149.1375,12858
2025-09-29 02:00:00,149.09,149.096,148.895,148.932,10935.0,148.9779,10935
2025-09-29 03:00:00,148.937,148.961,148.875,148.935,8699.0,148.9094,8699
2025-09-29 04:00:00,148.933,148.98,148.883,148.947,8525.0,148.9252,8525
2025-09-29 05:00:00,148.948,148.977,148.737,148.777,11697.0,148.8731,11697
2025-09-29 06:00:00,148.782,148.85,148.705,148.817,12287.0,148.7895,12287
2025-09-29 07:00:00,148.822,148.837,148.518,148.575,13087.0,148.6729,13087
2025-09-29 08:00:00,148.572,148.622,148.467,148.529,12955.0,148.5467,12955
2025-09-29 09:00:00,148.523,148.637,148.46,148.598,11986.0,148.5672,11986
