date,open,high,low,close,volume,vwap,transactions
2025-10-22 07:00:00,41.9713,41.97677,41.9565,41.9716,867.0,41.972,867
2025-10-22 08:00:00,41.97578,41.97664,41.9498,41.97553,920.0,41.9719,920
2025-10-22 09:00:00,41.97423,41.97622,41.957,41.9701,738.0,41.9707,738
2025-10-22 10:00:00,41.9717,41.97633,41.9498,41.9714,724.0,41.9705,724
2025-10-22 11:00:00,41.9664,41.97659,41.9571,41.9705,759.0,41.9708,759
2025-10-22 12:00:00,41.9722,41.97605,41.9564,41.9705,824.0,41.971,824
2025-10-22 13:00:00,41.97383,41.97647,41.9569,41.97631,875.0,41.9714,875
2025-10-22 14:00:00,41.9673,41.97647,41.95121,41.9717,915.0,41.9708,915
2025-10-22 15:00:00,41.97324,41.9761,41.96,41.9714,241.0,41.9729,241
2025-10-22 16:00:00,41.97423,41.97425,41.9642,41.965,242.0,41.9683,242
2025-10-22 17:00:00,41.9651,41.97324,41.9645,41.9653,177.0,41.9656,177
2025-10-22 18:00:00,41.9652,41.97324,41.96,41.9651,159.0,41.9652,159
2025-10-22 19:00:00,41.965,41.96575,41.95798,41.9642,98.0,41.9643,98
2025-10-22 20:00:00,41.96299,41.9741,41.61425,41.9704,184.0,41.9605,184
2025-10-22 21:00:00,41.9704,41.9805,41.57087,41.9701,365.0,41.9212,365
2025-10-22 22:00:00,41.94972,41.97,41.94972,41.9678,157.0,41.9677,157
2025-10-22 23:00:00,41.9681,41.9941,41.94972,41.9756,500.0,41.9713,500
2025-10-23 00:00:00,41.9726,41.97992,41.95087,41.9781,237.0,41.9718,237
2025-10-23 01:00:00,41.97986,41.98282,41.972,41.98233,115.0,41.9801,115
2025-10-23 02:00:00,41.98233,41.98642,41.974,41.9788,492.0,41.9826,492
2025-10-23 03:00:00,41.9789,41.98183,41.9765,41.977,138.0,41.9789,138
2025-10-23 04:00:00,41.9769,41.98056,41.972,41.9775,359.0,41.9766,359
2025-10-23 05:00:00,41.97605,41.98303,41.9751,41.9796,216.0,41.9789,216
2025-10-23 06:00:00,41.96858,41.98362,41.9641,41.98166,814.0,41.9794,814
2025-10-23 07:00:00,41.98191,41.98338,41.9601,41.977,1040.0,41.9788,1040
2025-10-23 08:00:00,41.97729,41.98352,41.9621,41.9646,901.0,41.9781,901
2025-10-23 09:00:00,41.98362,41.98428,41.9645,41.9801,803.0,41.9787,803
2025-10-23 10:00:00,41.98,41.98452,41.96477,41.96477,798.0,41.9789,798
2025-10-23 11:00:00,41.96422,41.98482,41.96422,41.98392,926.0,41.9793,926
2025-10-23 12:00:00,41.98377,41.98457,41.958,41.98,842.0,41.9792,842
2025-10-23 13:00:00,41.9801,41.98467,41.9653,41.98304,880.0,41.9797,880
2025-10-23 14:00:00,41.9752,41.98482,41.9651,41.98327,865.0,41.98,865
2025-10-23 15:00:00,41.9802,41.98483,41.9796,41.98383,266.0,41.9817,266
2025-10-23 16:00:00,41.9838,41.98509,41.94295,41.95426,226.0,41.9782,226
2025-10-23 17:00:00,41.95432,41.981,41.87038,41.9755,1381.0,41.9633,1381
2025-10-23 18:00:00,41.96681,41.9804,41.857,41.9312,2362.0,41.9478,2362
2025-10-23 19:00:00,41.9564,41.9678,41.64111,41.9566,1153.0,41.9399,1153
2025-10-23 20:00:00,41.93582,42.0079,41.51074,41.9711,444.0,41.9462,444
2025-10-23 21:00:00,41.9711,42.0578,41.32714,41.42931,433.0,41.8744,433
2025-10-23 22:00:00,41.69204,42.028,41.3425,41.9685,651.0,41.6458,651
2025-10-23 23:00:00,41.95792,42.0361,41.95792,42.0308,101.0,42.001,101
2025-10-24 00:00:00,41.98345,42.0603,41.98336,42.0591,285.0,42.0435,285
2025-10-24 01:00:00,42.059,42.0639,42.04639,42.0535,270.0,42.0568,270
2025-10-24 02:00:00,42.0536,42.0604,42.0517,42.0531,79.0,42.0535,79
2025-10-24 03:00:00,42.05556,42.05595,42.0534,42.0536,101.0,42.0542,101
2025-10-24 04:00:00,42.05479,42.0565,42.0532,42.0536,257.0,42.0539,257
2025-10-24 05:00:00,42.05558,42.05882,42.0532,42.0542,485.0,42.0544,485
2025-10-24 06:00:00,42.05456,42.05827,42.0185,42.05402,985.0,42.0537,985
2025-10-24 07:00:00,42.0556,42.05801,42.0102,42.0545,995.0,42.0539,995
2025-10-24 08:00:00,42.05471,42.05638,41.76489,41.9711,2584.0,41.9835,2584
2025-10-24 09:00:00,41.97514,41.99657,41.9298,41.9605,1597.0,41.9786,1597
2025-10-24 10:00:00,41.97991,41.98192,41.9296,41.97281,1158.0,41.9708,1158
2025-10-24 11:00:00,41.97284,41.98082,41.9238,41.9323,1134.0,41.9662,1134
2025-10-24 12:00:00,41.97439,41.97695,41.8255,41.9584,1676.0,41.9618,1676
2025-10-24 13:00:00,41.9578,41.978,41.8155,41.94658,1567.0,41.9444,1567
2025-10-24 14:00:00,41.94981,41.97,41.9011,41.94526,1787.0,41.9486,1787
2025-10-24 15:00:00,41.94364,41.948,41.9218,41.9376,760.0,41.9386,760
2025-10-24 16:00:00,41.94031,41.9439,41.93,41.9378,614.0,41.9375,614
2025-10-24 17:00:00,41.9367,41.9425,41.9344,41.9396,605.0,41.9386,605
2025-10-24 18:00:00,41.9397,41.94086,41.9334,41.9393,609.0,41.9388,609
2025-10-24 19:00:00,41.938,41.9403,41.92385,41.9284,586.0,41.9323,586
2025-10-24 20:00:00,41.92385,41.9389,41.89125,41.9389,597.0,41.9312,597
2025-10-26 21:00:00,41.9455,41.9455,41.74366,41.8975,94.0,41.8772,94
2025-10-26 22:00:00,41.88083,41.9796,41.88062,41.9796,150.0,41.9693,150
2025-10-26 23:00:00,41.97956,42.00111,41.97013,41.99216,334.0,41.9833,334
2025-10-27 00:00:00,41.99214,42.0148,41.98355,42.0026,576.0,41.9997,576
2025-10-27 01:00:00,42.0024,42.01059,41.98037,41.9992,305.0,42.0023,305
2025-10-27 02:00:00,41.9988,42.00184,41.99379,41.9981,249.0,41.9991,249
2025-10-27 03:00:00,41.9982,42.0006,41.9977,41.9984,89.0,41.9984,89
2025-10-27 04:00:00,41.9985,42.00005,41.996,41.9979,381.0,41.9981,381
2025-10-27 05:00:00,41.99915,41.99973,41.9829,41.9873,472.0,41.9944,472
2025-10-27 06:00:00,41.98932,41.99248,41.9635,41.98003,563.0,41.9847,563
2025-10-27 07:00:00,41.97943,41.98302,41.89066,41.97311,2192.0,41.9674,2192
2025-10-27 08:00:00,41.97301,41.97565,41.89582,41.9477,2071.0,41.9603,2071
2025-10-27 09:00:00,41.94811,41.96194,41.9176,41.9339,1692.0,41.9493,1692
2025-10-27 10:00:00,41.9359,41.9401,41.9051,41.9206,1255.0,41.9301,1255
2025-10-27 11:00:00,41.92017,41.92626,41.8984,41.915,1196.0,41.9167,1196
2025-10-27 12:00:00,41.9156,41.92082,41.8911,41.9027,1096.0,41.9137,1096
2025-10-27 13:00:00,41.9152,41.92029,41.8983,41.8994,1128.0,41.9146,1128
2025-10-27 14:00:00,41.9135,41.923,40.06604,41.9146,1542.0,41.9022,1542
2025-10-27 15:00:00,41.91621,41.93,41.9014,41.92208,980.0,41.9096,980
2025-10-27 16:00:00,41.9192,41.9253,41.90875,41.9118,595.0,41.9178,595
2025-10-27 17:00:00,41.9121,41.91723,41.90187,41.9137,475.0,41.9124,475
2025-10-27 18:00:00,41.91528,41.91528,41.90726,41.9116,292.0,41.9121,292
2025-10-27 19:00:00,41.9108,41.923,41.90666,41.9157,178.0,41.9131,178
2025-10-27 20:00:00,41.9158,41.9398,41.69361,41.8635,375.0,41.9122,375
2025-10-27 21:00:00,41.8635,41.971,41.67524,41.957,481.0,41.929,481
2025-10-27 22:00:00,41.9569,41.9594,41.9352,41.959,174.0,41.9589,174
2025-10-27 23:00:00,41.9352,41.962,41.9352,41.9594,291.0,41.956,291
2025-10-28 00:00:00,41.9352,41.964,41.9352,41.9556,795.0,41.9528,795
2025-10-28 01:00:00,41.95613,41.969,41.9557,41.9598,388.0,41.9616,388
2025-10-28 02:00:00,41.96203,41.968,41.9584,41.9585,534.0,41.9612,534
2025-10-28 03:00:00,41.96064,41.965,41.95702,41.9602,606.0,41.9607,606
2025-10-28 04:00:00,41.9615,41.96544,41.95395,41.95871,847.0,41.9593,847
2025-10-28 05:00:00,41.9592,41.9615,41.953,41.953,766.0,41.957,766
2025-10-28 06:00:00,41.95429,41.9585,41.9134,41.9415,587.0,41.9466,587
2025-10-28 07:00:00,41.94305,41.954,41.9096,41.95104,939.0,41.9397,939
2025-10-28 08:00:00,41.95139,41.9628,41.9205,41.96059,1129.0,41.9509,1129
2025-10-28 09:00:00,41.96089,41.96619,41.9161,41.96598,1183.0,41.9567,1183
2025-10-28 10:00:00,41.96463,41.96736,41.9154,41.9626,1014.0,41.9626,1014
2025-10-28 11:00:00,41.96652,41.96652,41.9484,41.9582,1237.0,41.9566,1237
2025-10-28 12:00:00,41.96076,41.96267,41.9563,41.95816,782.0,41.9591,782
2025-10-28 13:00:00,41.95816,41.96322,41.9569,41.95747,712.0,41.9593,712
2025-10-28 14:00:00,41.95747,41.96191,41.9417,41.9458,712.0,41.9542,712
2025-10-28 15:00:00,41.9482,41.9611,41.9454,41.9588,352.0,41.9517,352
2025-10-28 16:00:00,41.9621,41.96395,41.91,41.9566,353.0,41.9577,353
2025-10-28 17:00:00,41.95438,41.9568,41.95102,41.9528,313.0,41.9539,313
2025-10-28 18:00:00,41.95249,41.958,41.95,41.95579,438.0,41.9559,438
2025-10-28 19:00:00,41.9552,41.9568,41.88874,41.933,1452.0,41.923,1452
2025-10-28 20:00:00,41.91474,41.9513,41.8635,41.9498,448.0,41.9269,448
2025-10-28 21:00:00,41.9498,41.9575,41.85506,41.9288,640.0,41.9391,640
2025-10-28 22:00:00,41.9501,41.9555,41.93024,41.94773,351.0,41.9501,351
2025-10-28 23:00:00,41.9511,41.9555,41.94075,41.9533,113.0,41.9515,113
2025-10-29 00:00:00,41.9532,41.9532,41.9445,41.95128,81.0,41.9522,81
2025-10-29 01:00:00,41.95127,41.9529,41.9484,41.94905,92.0,41.9519,92
2025-10-29 02:00:00,41.9527,41.9555,41.94727,41.95025,124.0,41.9513,124
2025-10-29 03:00:00,41.94948,41.9558,41.94948,41.953,73.0,41.9528,73
2025-10-29 04:00:00,41.9555,41.9558,41.95058,41.9533,405.0,41.9531,405
2025-10-29 05:00:00,41.95163,41.9549,41.95163,41.9544,202.0,41.9543,202
2025-10-29 06:00:00,41.95332,41.9578,41.9283,41.95086,228.0,41.9529,228
2025-10-29 07:00:00,41.95344,41.95541,41.923,41.93689,572.0,41.9461,572
2025-10-29 08:00:00,41.93664,41.9458,41.9307,41.94091,669.0,41.9393,669
2025-10-29 09:00:00,41.94116,41.94579,41.9353,41.9378,616.0,41.9403,616
2025-10-29 10:00:00,41.9402,41.9643,41.9376,41.9551,902.0,41.9491,902
2025-10-29 11:00:00,41.95707,41.96185,41.9478,41.95388,936.0,41.9554,936
2025-10-29 12:00:00,41.95578,41.95733,41.9451,41.9517,451.0,41.9505,451
2025-10-29 13:00:00,41.951,41.95553,41.9321,41.94529,1179.0,41.9406,1179
2025-10-29 14:00:00,41.94529,41.9493,41.93936,41.94026,834.0,41.9442,834
2025-10-29 15:00:00,41.94136,41.9508,41.93596,41.9439,636.0,41.9446,636
2025-10-29 16:00:00,41.94596,41.94805,41.9244,41.9371,606.0,41.9392,606
2025-10-29 17:00:00,41.937,41.96,41.85884,41.9401,778.0,41.9245,778
2025-10-29 18:00:00,41.9362,41.9475,41.86173,41.9436,1448.0,41.909,1448
2025-10-29 19:00:00,41.90055,41.9462,41.88081,41.9276,559.0,41.9236,559
2025-10-29 20:00:00,41.88775,41.9462,41.83855,41.9401,359.0,41.9256,359
2025-10-29 21:00:00,41.9401,41.968,41.85806,41.946,347.0,41.9514,347
2025-10-29 22:00:00,41.9584,41.9656,41.92643,41.965,136.0,41.9612,136
2025-10-29 23:00:00,41.968,42.013,41.88729,41.89763,749.0,41.9519,749
2025-10-30 00:00:00,41.9894,42.003,41.89727,41.9996,528.0,41.9521,528
2025-10-30 01:00:00,41.93175,42.003,41.90665,41.9998,464.0,41.9866,464
